group,x,residual_m,validation
C001→C003,1.865,-0.016481681573383547,false
C003→C001,1.865,-0.011481681573383654,true
C002→C003,2.18,-0.004294132027652636,false
C003→C002,2.18,-0.014294132027652867,false
C001→C002,1.475,-0.012428756316955704,false
C002→C001,1.475,0.0015712436830443086,false
C003→C001,1.865,0.007518318426616474,true
C002→C003,2.18,-0.004294132027652636,false
C003→C002,2.18,0.009705867972347154,false
C001→C002,1.475,-0.007428756316955588,false
C002→C001,1.475,-0.007428756316955588,false
C003→C001,1.865,0.012518318426616368,true
C002→C003,2.18,0.0007058679723472572,false
C003→C002,2.18,0.004705867972347261,false
C001→C002,1.475,-0.012428756316955704,false
C002→C001,1.475,-0.012428756316955704,false
C003→C001,1.865,-0.016481681573383547,true
C002→C003,2.18,-0.004294132027652636,false
C003→C002,2.18,0.0007058679723472572,false
C001→C002,1.475,-0.007428756316955588,false
C002→C001,1.475,0.02457124368304444,false
C003→C001,1.865,0.02651831842661638,true
C002→C003,2.18,-0.00929413202765253,false
C003→C002,2.18,0.0007058679723472572,false
C001→C002,1.475,0.010571243683044428,false
C002→C001,1.475,-0.012428756316955704,false
C001→C003,1.865,-0.025481681573383666,true
C003→C001,1.865,0.007518318426616474,false
C002→C003,2.18,0.0007058679723472572,false
C003→C002,2.18,0.0007058679723472572,false
